Player_ID,Team_ID,Player,First Name,Last Name,PPG,APG,RPG,SPG,3P%
519,2,Justin Kier,Justin,Kier,7,3,3,0.5,0.667
417,40,Justin Minaya,Justin,Minaya,9,2.5,2.5,0,0.375
245,46,Justin Mazzulla,Justin,Mazzulla,13,4,9,0,0.25
579,50,Justin Lewis,Justin,Lewis,6,1,8,1,0.286
271,58,Justin Hill,Justin,Hill,13,2,2,4,0.5
346,65,Justin Roberts,Justin,Roberts,11,5,6,1,0
794,67,Justin Hopkins,Justin,Hopkins,0.5,0.5,0.5,0,0
106,24,Justice Hill,Justice,Hill,17,6.5,3.5,1.5,0.385
633,1,Julian Strawther,Julian,Strawther,4.5,1.5,5,0,0
496,30,Julian Rishwain,Julian,Rishwain,8,0,4,2,0.167
288,5,Jules Bernard,Jules,Bernard,12,2.5,4.5,1.5,0.455
616,56,Jubrile Belo,Jubrile,Belo,5,4,3,1,0
162,6,Josiah James,Josiah,James,15,2.5,7.5,1,0.25
412,15,Josh Carlton,Josh,Carlton,9.5,0,4,0,0
465,30,Josh Kunen,Josh,Kunen,8,2,7,0,0
574,13,Jordan Bohannon,Jordan,Bohannon,6,3,2,1,0.286
414,44,Jordan Miller,Jordan,Miller,9,1.5,3.5,3,0
122,45,Jordan Walker,Jordan,Walker,17,5,1,0,0.1
613,58,Jordan Perkins,Jordan,Perkins,5,3,4,0,0
706,64,Jordan Campbell,Jordan,Campbell,3,2,2,1,0.5
773,67,Jordan Gilliam,Jordan,Gilliam,1.5,2.5,1.5,0.5,0
525,67,Joirdon Karl Nicholas,Joirdon,Karl,7,1,7,0.5,0
318,5,Johnny Juzang,Johnny,Juzang,11.5,2,6.5,1.5,0.2
37,23,Johnny Davis,Johnny,Davis,21,1,8.5,2,0.235
362,52,Johnny McCants,Johnny,McCants,10.5,2,7,2,0.375
367,6,John Fulkerson,John,Fulkerson,10.5,1,2,0.5,0
767,32,John Tonje,John,Tonje,2,1,3,0,0
199,67,John Walker III,John,Walker,14.5,0,4.5,1,0.5
133,27,Joey Hauser,Joey,Hauser,16,2.5,7,0.5,0.5
761,13,Joe Toussaint,Joe,Toussaint,2,1,1,0,0
193,63,"Joe Bryant, Jr.",Joe,"Bryant,",15,0,5,0,0.5
745,58,Jesper Granlund,Jesper,Granlund,2,1,3,0,0
130,10,Jermaine Samuels,Jermaine,Samuels,16,1.5,8.5,1.5,0.6
165,9,Jeremy Sochan,Jeremy,Sochan,15,3,9,1,0.333
236,11,Jeremy Roach,Jeremy,Roach,13.5,4,1.5,1,0.333
611,48,Jeremiah Oden,Jeremiah,Oden,5,0,1,0,1
605,49,Jeff Woodward,Jeff,Woodward,5,2,4,0,0
316,12,Jaylin Williams,Jaylin,Williams,11.5,2,12.5,0.5,0.2
785,5,Jaylen Clark,Jaylen,Clark,1,0,0.5,0.5,0
521,57,Jaylen Murray,Jaylen,Murray,7,1.5,2.5,0.5,0.667
631,34,Jared Rhoden,Jared,Rhoden,5,0,4,0,0
339,40,Jared Bynum,Jared,Bynum,11,3,1.5,0,0.429
355,34,Jamir Harris,Jamir,Harris,11,2,0,0,0.286
170,9,James Akinjo,James,Akinjo,15,7.5,4,1.5,0.25
502,61,"Jameer Nelson, Jr.",Jameer,"Nelson,",8,3,1,1,0.2
678,38,Jamari Wheeler,Jamari,Wheeler,3.5,2,4.5,1,0.2
1,30,Jamaree Bouyea,Jamaree,Bouyea,36,3,3,1,0.333
168,15,Jamal Shead,Jamal,Shead,15,5,2,2,0.5
280,3,Jalen Wilson,Jalen,Wilson,12.5,1.5,10,0.5,0.143
447,20,Jalen Duren,Jalen,Duren,8.5,1.5,9,0.5,0
760,59,Jalen Gabbidon,Jalen,Gabbidon,2,3,4,1,0
54,60,Jalen Gibbs,Jalen,Gibbs,20,0,6,0,0.444
119,60,Jalen Finch,Jalen,Finch,17,0,1,2,0.667
403,64,Jalen Harris,Jalen,Harris,10,0,1,1,0.5
299,65,Jalen Thomas,Jalen,Thomas,12,1,9,1,0
615,68,Jalen Jackson,Jalen,Jackson,5,3,2,1,0
169,5,"Jaime Jaquez, Jr.",Jaime,"Jaquez,",15,4,5,1,0.25
624,65,Ja'Heim Hudson,Ja'Heim,Hudson,5,0,5,0,1
46,4,Jaden Ivey,Jaden,Ivey,20,2,3.5,1,0.5
266,37,Jaden Shackelford,Jaden,Shackelford,13,2,7,2,0.2
432,7,Jacob Toppin,Jacob,Toppin,9,1,1,0,0
796,16,Jacob Grandison,Jacob,Grandison,0,1,1.5,0,0
207,54,Jacob Gilyard,Jacob,Gilyard,14,4.5,4.5,0,0.286
710,49,Jack Ferguson,Jack,Ferguson,3,3,2,1,0.25
163,17,Jabari Smith II,Jabari,Smith,15,4,14.5,0,0.333
541,52,Jabari Rice,Jabari,Rice,7,2,1,0,0.364
102,12,J.D. Notae,J.D.,Notae,17.5,3.5,5.5,4,0.2
336,37,J.D. Davison,J.D.,Davison,11,9,3,3,1
200,51,Izaiah Brockington,Izaiah,Brockington,14.5,0.5,3,2.5,0.2
763,57,Isiah Dasher,Isiah,Dasher,2,1,1,0,0
604,67,Isiah Small,Isiah,Small,5,1,8,0,0
683,4,Isaiah Thompson,Isaiah,Thompson,3.5,0,1.5,0.5,0
436,18,Isaiah Whaley,Isaiah,Whaley,9,0,3,0,0.25
34,44,Isaiah Wong,Isaiah,Wong,21.5,1.5,5,1,0
477,32,Isaiah Stevens,Isaiah,Stevens,8,4,5,1,0.5
340,33,Isaiah Mobley,Isaiah,Mobley,11,8,5,0,0.333
741,46,Isaiah Powell,Isaiah,Powell,2,1,7,0,0
439,58,Isaiah Wilkins,Isaiah,Wilkins,9,2,2,1,0.143
656,59,Isaiah Kelly,Isaiah,Kelly,4,0,6,0,0
461,64,Isaiah Hill,Isaiah,Hill,8,3,2,1,0
606,68,Isaac Mushila,Isaac,Mushila,5,2,8,1,1
714,34,Ike Obiagu,Ike,Obiagu,3,0,5,0,0
357,42,Hyunjung Lee,Hyunjung,Lee,11,1,4,0,0.429
19,35,Hunter Dickinson,Hunter,Dickinson,24,2.5,8.5,1,0.5
41,48,Hunter Maldonado,Hunter,Maldonado,21,5,3,1,0.5
311,29,Hunter Cattoor,Hunter,Cattoor,12,1,1,1,0.333
503,57,Hassan Drame,Hassan,Drame,7.5,2,8,1,0
474,66,Hall Elisias,Hall,Elisias,8,0,6,2,0
757,66,Greg Calixte,Greg,Calixte,2,0,0,0,0
629,55,Greg Tribble,Greg,Tribble,5,0,4,0,0
651,42,Grant Huffman,Grant,Huffman,4,3,3,2,0
517,54,Grant Golden,Grant,Golden,7,5,5,0,0
103,62,Grant Basile,Grant,Basile,17.5,1,6.5,1.5,0.385
120,48,Graham Ike,Graham,Ike,17,1,9,0,0
740,51,George Conditt IV,George,Conditt,2,2,3.5,0,0
